x,y
1.000000000000000000e+00,8.496714153011232895e+00
2.000000000000000000e+00,1.286173569882881473e+01
3.000000000000000000e+00,1.864768853810069160e+01
4.000000000000000000e+00,2.452302985640802646e+01
5.000000000000000000e+00,2.776584662527666580e+01
6.000000000000000000e+00,3.276586304305082109e+01
7.000000000000000000e+00,3.957921281550738968e+01
8.000000000000000000e+00,4.376743472915291022e+01
9.000000000000000000e+00,4.753052561406504850e+01
1.000000000000000000e+01,5.354256004358596499e+01
1.100000000000000000e+01,5.753658230718753686e+01
1.200000000000000000e+01,6.253427024642974175e+01
1.300000000000000000e+01,6.824196227156603811e+01
1.400000000000000000e+01,7.108671975534220167e+01
1.500000000000000000e+01,7.627508216748697123e+01
1.600000000000000000e+01,8.243771247075902409e+01
1.700000000000000000e+01,8.698716887966557465e+01
1.800000000000000000e+01,9.331424733259527216e+01
1.900000000000000000e+01,9.709197592447878833e+01
2.000000000000000000e+01,1.015876962986647101e+02
2.100000000000000000e+01,1.094656487689215538e+02
2.200000000000000000e+01,1.127742236995134704e+02
2.300000000000000000e+01,1.180675282046879175e+02
2.400000000000000000e+01,1.215752518137865366e+02
2.500000000000000000e+01,1.274556172754748218e+02
2.600000000000000000e+01,1.331109225897098725e+02
2.700000000000000000e+01,1.368490064225777019e+02
2.800000000000000000e+01,1.433756980183456733e+02
2.900000000000000000e+01,1.473993613100811899e+02
3.000000000000000000e+01,1.527083062502067321e+02
3.100000000000000000e+01,1.573982933877705932e+02
3.200000000000000000e+01,1.648522781845089469e+02
3.300000000000000000e+01,1.679865027752620676e+02
3.400000000000000000e+01,1.719422890710440868e+02
3.500000000000000000e+01,1.788225449121031829e+02
3.600000000000000000e+01,1.817791563500289840e+02
3.700000000000000000e+01,1.882088635950047433e+02
3.800000000000000000e+01,1.910403298761202109e+02
3.900000000000000000e+01,1.966718139511015693e+02
4.000000000000000000e+01,2.031968612358691360e+02
4.100000000000000000e+01,2.087384665799954178e+02
4.200000000000000000e+01,2.131713682811899844e+02
4.300000000000000000e+01,2.178843517176117643e+02
4.400000000000000000e+01,2.226988963044107095e+02
4.500000000000000000e+01,2.265214780096325740e+02
4.600000000000000000e+01,2.322801557916052957e+02
4.700000000000000000e+01,2.375393612290402245e+02
4.800000000000000000e+01,2.440571222262189224e+02
4.900000000000000000e+01,2.483436182895684681e+02
5.000000000000000000e+01,2.512369598446372549e+02
5.100000000000000000e+01,2.583240839693947919e+02
5.200000000000000000e+01,2.626149177195836728e+02
5.300000000000000000e+01,2.673230779996940214e+02
5.400000000000000000e+01,2.736116762888408402e+02
5.500000000000000000e+01,2.790309995224959607e+02
5.600000000000000000e+01,2.839312801191161952e+02
5.700000000000000000e+01,2.871607824767773423e+02
5.800000000000000000e+01,2.926907876241488111e+02
5.900000000000000000e+01,2.983312634314035563e+02
6.000000000000000000e+01,3.039755451271223592e+02
6.100000000000000000e+01,3.075208257621546863e+02
6.200000000000000000e+01,3.128143410233361692e+02
6.300000000000000000e+01,3.168936650259939825e+02
6.400000000000000000e+01,3.218037933759193265e+02
6.500000000000000000e+01,3.288125258223942069e+02
6.600000000000000000e+01,3.343562400285708236e+02
6.700000000000000000e+01,3.379279898784196803e+02
6.800000000000000000e+01,3.440035328978920006e+02
6.900000000000000000e+01,3.483616360250476305e+02
7.000000000000000000e+01,3.523548802453948952e+02
7.100000000000000000e+01,3.583613956055083918e+02
7.200000000000000000e+01,3.645380365664659621e+02
7.300000000000000000e+01,3.679641739608900366e+02
7.400000000000000000e+01,3.745646436558139953e+02
7.500000000000000000e+01,3.753802548959102410e+02
7.600000000000000000e+01,3.838219025043752026e+02
7.700000000000000000e+01,3.880870470682381779e+02
7.800000000000000000e+01,3.927009926495341574e+02
7.900000000000000000e+01,3.980917607765355228e+02
8.000000000000000000e+01,4.010124310853991005e+02
8.100000000000000000e+01,4.077803281121624650e+02
8.200000000000000000e+01,4.133571125715117205e+02
8.300000000000000000e+01,4.194778940447415039e+02
8.400000000000000000e+01,4.224817297817263579e+02
8.500000000000000000e+01,4.271915063971068207e+02
8.600000000000000000e+01,4.324982429564154813e+02
8.700000000000000000e+01,4.389154021177020581e+02
8.800000000000000000e+01,4.433287511096596631e+02
8.900000000000000000e+01,4.474702397962329883e+02
9.000000000000000000e+01,4.535132674331133558e+02
9.100000000000000000e+01,4.580970775493480573e+02
9.200000000000000000e+01,4.639686449905328800e+02
9.300000000000000000e+01,4.672979469061226609e+02
9.400000000000000000e+01,4.726723378534022117e+02
9.500000000000000000e+01,4.776078918468678580e+02
9.600000000000000000e+01,4.815364850518678850e+02
9.700000000000000000e+01,4.882961202770645741e+02
9.800000000000000000e+01,4.932610552721798740e+02
9.900000000000000000e+01,4.980051134566424480e+02
1.000000000000000000e+02,5.027654128666248425e+02
